pickup_date,pickup_hour,pickup_minute,pickup_lat,pickup_lon,dropoff_date,dropoff_hour,dropoff_minute,dropoff_lat,dropoff_lon,ride_distance_meters,ride_duration_seconds,passengers,wheelchair,created_from,job_name,ride_mode
2024-06-01,15,39,43.48365073661516,-110.75979877136818,2024-06-01,15,46,43.47826086956522,-110.76597901190314,1138,378,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,40,43.477362558390226,-110.76968715622411,2024-06-01,15,46,43.48275242544017,-110.76350691568915,1037,355,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,42,43.477362558390226,-110.7721592524381,2024-06-01,15,48,43.4800574919152,-110.76103481947517,1075,346,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,47,43.474667624865255,-110.75361853083321,2024-06-01,15,50,43.48095580309019,-110.76103481947517,1529,202,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,51,43.47376931369026,-110.7560906270472,2024-06-01,15,55,43.47646424721523,-110.74620224219126,1424,244,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,51,43.471074380165284,-110.75238248272622,2024-06-01,15,59,43.48634567014013,-110.76227086758216,3010,462,1,No,Rider App,On-Demand,On-Demand
2024-06-01,15,51,43.48185411426518,-110.76474296379615,2024-06-01,15,55,43.487243981315125,-110.76227086758216,827,229,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,0,43.487243981315125,-110.76227086758216,2024-06-01,16,9,43.48185411426518,-110.76474296379615,827,578,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,1,43.4800574919152,-110.76597901190314,2024-06-01,16,3,43.48454904779015,-110.76350691568915,767,135,4,No,Rider App,On-Demand,On-Demand
2024-06-01,16,1,43.4800574919152,-110.76597901190314,2024-06-01,16,3,43.48454904779015,-110.76350691568915,767,136,4,No,Rider App,On-Demand,On-Demand
2024-06-01,16,4,43.47287100251527,-110.75485457894021,2024-06-01,16,8,43.47556593604024,-110.76968715622411,1936,291,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,5,43.48454904779015,-110.76350691568915,2024-06-01,16,7,43.48185411426518,-110.76227086758216,439,113,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,7,43.47197269134028,-110.76350691568915,2024-06-01,16,10,43.48095580309019,-110.76103481947517,1300,226,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,11,43.48454904779015,-110.76350691568915,2024-06-01,16,16,43.47826086956522,-110.75485457894021,1476,285,1,No,Rider App,On-Demand,On-Demand
2024-06-01,16,12,43.47376931369026,-110.7560906270472,2024-06-01,16,18,43.48904060366511,-110.76227086758216,2355,357,1,No,Rider App,On-Demand,On-Demand
